GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,UniversiteService,80,0,0,0,13,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,ChambreService,0,124,0,4,0,22,0,15,0,13
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,FoyerService,99,0,4,0,18,0,10,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,ReservationService,263,0,34,0,47,0,31,0,11,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,BlocService,51,0,0,0,10,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.services.impementations,EtudiantService,51,0,0,0,10,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Bloc,39,25,0,0,7,3,10,3,10,3
tpFoyer-17,tn.esprit.tpfoyer17.entities,Universite.UniversiteBuilder,25,20,0,0,0,1,4,3,4,3
tpFoyer-17,tn.esprit.tpfoyer17.entities,Universite,32,22,0,0,6,3,8,3,8,3
tpFoyer-17,tn.esprit.tpfoyer17.entities,Etudiant.EtudiantBuilder,63,0,0,0,1,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Foyer,64,0,0,0,10,0,13,0,13,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Chambre,21,43,0,0,3,7,6,7,6,7
tpFoyer-17,tn.esprit.tpfoyer17.entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Etudiant,78,0,0,0,11,0,15,0,15,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Chambre.ChambreBuilder,12,42,0,0,0,1,1,7,1,7
tpFoyer-17,tn.esprit.tpfoyer17.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.entities,Bloc.BlocBuilder,27,27,0,0,0,1,4,4,4,4
tpFoyer-17,tn.esprit.tpfoyer17.entities,Reservation,58,0,0,0,9,0,12,0,12,0
tpFoyer-17,tn.esprit.tpfoyer17,TpFoyer17Application,8,0,0,0,3,0,2,0,2,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,ChambreController,62,0,0,0,12,0,12,0,12,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,BlocController,44,0,0,0,10,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,ReservationController,47,0,0,0,9,0,9,0,9,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,EtudiantController,38,0,0,0,9,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,UniversiteController,40,0,0,0,8,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.controllers,FoyerController,40,0,0,0,9,0,8,0,8,0
tpFoyer-17,tn.esprit.tpfoyer17.configurations,SpringDocConfig,145,0,0,0,38,0,10,0,10,0
tpFoyer-17,tn.esprit.tpfoyer17.entities.enumerations,TypeChambre,0,27,0,0,0,4,0,1,0,1
